source,label,n,accuracy
agcs-ai-game,0,14,0.8571428571428571
agcs-ai-game,1,14,0.5714285714285714
ai-or-not,0,243,0.8806584362139918
ai-or-not,1,176,0.7329545454545454
animaginexl_paintings_fake,1,559,1.0
custom-images,0,13,0.6153846153846154
custom-images,1,16,0.5625
dalle3,1,1188,0.9974747474747475
dalle3_addition,1,6,1.0
dalle3_addition2,1,33,1.0
danbooru2021,0,1113,1.0
ffhq,0,2177,0.9990813045475425
ffhq_stylegan,1,1161,0.9302325581395349
firefly,1,749,0.9906542056074766
imagenet,0,783,0.9923371647509579
imagenet_stylegan,1,715,0.9356643356643357
journeydb,1,1240,0.9975806451612903
masksim,0,12640,0.9948575949367089
masksim,1,15000,0.4816
photozilla,0,6736,0.9992577197149644
photozilla,1,3,1.0
pikaso,1,1695,0.991740412979351
progan_train,0,591,0.9915397631133672
progan_train,1,628,0.9888535031847133
progan_val,1,147,0.9795918367346939
real-or-fake-the-ai-game,0,47,0.8936170212765957
real-or-fake-the-ai-game,1,53,0.6226415094339622
sd_faces_fake,1,541,1.0
sd_paintings_fake,1,261,0.9885057471264368
sd_photos_fake,1,780,1.0
sdxl_faces_fake,1,564,1.0
sdxl_paintings_fake,1,319,1.0
sdxl_photos_fake,1,737,0.9986431478968792
sora,1,2951,1.0
testset,0,16975,0.9998232695139911
testset,1,23693,0.9932469505761196
train2017,0,1246,0.9991974317817014
train2017,1,1,1.0
unsplash,0,2512,0.9976114649681529
unsplash,1,1,1.0
val2017,0,315,1.0
wikiart,0,1135,0.9973568281938326
wikiart_stylegan,1,1132,0.9991166077738516
