source,accuracy,auc,f1
agcs-ai-game,0.7142857142857143,0.37244897959183676,0.6666666666666666
ai-or-not,0.8186157517899761,0.33972830153385714,0.7724550898203593
animaginexl_paintings_fake,1.0,,1.0
custom-images,0.5862068965517241,0.5528846153846154,0.6
dalle3,0.9974747474747475,,0.9987357774968394
dalle3_addition,1.0,,1.0
dalle3_addition2,1.0,,1.0
danbooru2021,1.0,,0.0
ffhq,0.9990813045475425,,0.0
ffhq_stylegan,0.9302325581395349,,0.963855421686747
firefly,0.9906542056074766,,0.9953051643192489
imagenet,0.9923371647509579,,0.0
imagenet_stylegan,0.9356643356643357,,0.9667630057803468
journeydb,0.9975806451612903,,0.9987888574888979
masksim,0.7163169319826339,0.10394304324894516,0.6482121225716722
photozilla,0.9992580501558095,0.36163895486935865,0.5454545454545454
pikaso,0.991740412979351,,0.9958530805687204
progan_train,0.9901558654634947,0.7720639744791835,0.9904306220095693
progan_val,0.9795918367346939,,0.9896907216494846
real-or-fake-the-ai-game,0.75,0.3006824568446407,0.7252747252747253
sd_faces_fake,1.0,,1.0
sd_paintings_fake,0.9885057471264368,,0.9942196531791907
sd_photos_fake,1.0,,1.0
sdxl_faces_fake,1.0,,1.0
sdxl_paintings_fake,1.0,,1.0
sdxl_photos_fake,0.9986431478968792,,0.9993211133740665
sora,1.0,,1.0
testset,0.9959919346906658,0.448525220159419,0.9965487306527769
train2017,0.9991980753809142,0.3382825040128411,0.6666666666666666
unsplash,0.9976124154397135,0.6741640127388535,0.25
val2017,1.0,,0.0
wikiart,0.9973568281938326,,0.0
wikiart_stylegan,0.9991166077738516,,0.9995581087052585
